run_id,produced_at,date_only,operator_rating,operator_notes,world,moral_wager,som_y1_m,crystallization_score,cluster,genius_score,protagonist,antagonist,wound,conflict,compression,divisiveness,mf_id,de_id,sdt_id,axes_triple,comp1_title,comp1_similarity,comp1_ww_gross_m,comp2_title,comp2_similarity,comp2_ww_gross_m,comp3_title,comp3_similarity,comp3_ww_gross_m,top_comp_ww_m,mean_comp_ww_m,max_comp_similarity,som_y1_usd,winners_path
evolve-20260526T154542Z,2026-05-26T15:45:42Z,2026-05-26,,,pharmaceutical research lab during a drug trial,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",281.39,0.6319,economic,0.9359,The Hero,Destroyer Creator,did everything right; one variable outside their control destroyed everything they built,loyalty vs truth — both are owed to the same person and cannot coexist,the precision of measurement contains the exact thing it cannot measure,the most sympathetic character causes the most harm — no clean emotional exit,MF_01,DE_05,SW_06,MF_01 + DE_05 + SW_06,Brick Mansions,0.6667,71.42,Joker (2019),0.6000,1078.96,Gravity (2013),0.6000,723.19,1078.96,624.52,0.6667,281393591.33,runs/evolve-20260526T154542Z/evolve/gen0/winners.json
evolve-20260526T154210Z,2026-05-26T15:42:10Z,2026-05-26,,,a frontier world where the rules of civilization have not yet arrived — raw possibility and raw danger in equal measure,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",527.24,0.5517,emotional,0.8290,The Creator,,lost the one person who saw them completely; is now invisible to everyone else,past justice vs future peace — pursuing the truth reopens a wound the community needs to stay closed,the method was causing the problem it was designed to solve,silence as complicity — the film makes not-acting indistinguishable from acting,MF_07,DE_06,SW_09,MF_07 + DE_06 + SW_09,Fifty Shades of Grey (2015),1.0000,569.65,Fatal Attraction (1987),1.0000,320.15,Titanic (1997),0.6667,2264.16,2264.16,1051.32,1.0000,527240160.96,runs/evolve-20260526T154210Z/evolve/gen0/winners.json
evolve-20260526T141733Z,2026-05-26T14:17:33Z,2026-05-26,,,a society in a single compressed moment of transformation — the last night before everything changes forever,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",579.45,0.7133,civilizational,0.8531,The Lover,,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,scientific truth vs lived experience — the data says one thing; the patient's body says another,one rule explains everything that seemed random — retroactive coherence,"good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_09,DE_09,SW_16,MF_09 + DE_09 + SW_16,Jurassic World: Fallen Kingdom (2018),0.7500,1310.47,Jurassic World Dominion (2022),0.7500,1004.00,The Hunger Games: Mockingjay - Part 1 (2014),0.7500,755.36,1310.47,1023.28,0.7500,579447296.77,runs/evolve-20260526T141733Z/evolve/gen0/winners.json
evolve-20260526T071937Z,2026-05-26T07:19:37Z,2026-05-26,,,international treaty negotiation,Precision without accountability leads to harm that the precision itself cannot measure.,527.24,0.5569,emotional,0.8169,The Everyman,,the more successful they become the fewer people in the world can actually reach them,liberty vs protection — protecting someone means controlling them,the method was causing the problem it was designed to solve,silence as complicity — the film makes not-acting indistinguishable from acting,MF_03,DE_06,SW_07,MF_03 + DE_06 + SW_07,Fifty Shades of Grey (2015),1.0000,569.65,Fatal Attraction (1987),1.0000,320.15,Titanic (1997),0.6667,2264.16,2264.16,1051.32,1.0000,527240160.96,runs/evolve-20260526T071937Z/evolve/gen0/winners.json
evolve-20260526T070922Z,2026-05-26T07:09:22Z,2026-05-26,,,an ancient world being rediscovered — ruins that still hold living consequences,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",448.38,0.7822,civilizational,0.9731,The Explorer,Destroyer Creator,denied the right to choose their own path by an institution they once believed in,scientific truth vs lived experience — the data says one thing; the patient's body says another,"the protagonist was the antagonist all along — same person, different time","good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_09,DE_09,SW_01,MF_09 + DE_09 + SW_01,Interstellar (2014),0.7500,746.61,The Martian (2015),0.7500,631.06,Passengers (2016),0.7500,303.14,746.61,560.27,0.7500,448380031.23,runs/evolve-20260526T070922Z/evolve/gen0/winners.json
evolve-20260526T070859Z,2026-05-26T07:08:59Z,2026-05-26,,,a village facing forced relocation due to climate or development,Precision without accountability leads to harm that the precision itself cannot measure.,579.45,0.8142,civilizational,0.9457,The Magician,Decayed Innocent,lost the one person who saw them completely; is now invisible to everyone else,individual conscience vs collective loyalty — one person's integrity vs many people's safety,the precision of measurement contains the exact thing it cannot measure,silence as complicity — the film makes not-acting indistinguishable from acting,MF_04,DE_06,SW_09,MF_04 + DE_06 + SW_09,Jurassic World: Fallen Kingdom (2018),0.7500,1310.47,Jurassic World Dominion (2022),0.7500,1004.00,The Hunger Games: Mockingjay - Part 1 (2014),0.7500,755.36,1310.47,1023.28,0.7500,579447296.77,runs/evolve-20260526T070859Z/evolve/gen0/winners.json
evolve-20260526T070833Z,2026-05-26T07:08:33Z,2026-05-26,,,an enchanted realm where physical laws are expressions of emotional truth,Precision without accountability leads to harm that the precision itself cannot measure.,527.24,0.7415,emotional,0.9665,The Ruler,,separated from the ones they love by a choice they cannot take back — the wound is not loss but the knowledge that they caused it,merit vs circumstance — the meritocracy rewards the person with the best starting position,the precision of measurement contains the exact thing it cannot measure,silence as complicity — the film makes not-acting indistinguishable from acting,MF_08,DE_06,SW_13,MF_08 + DE_06 + SW_13,Fifty Shades of Grey (2015),1.0000,569.65,Fatal Attraction (1987),1.0000,320.15,Titanic (1997),0.6667,2264.16,2264.16,1051.32,1.0000,527240160.96,runs/evolve-20260526T070833Z/evolve/gen0/winners.json
evolve-20260526T070805Z,2026-05-26T07:08:05Z,2026-05-26,,,"a family home across three generations — the same rooms, different decades",Precision without accountability leads to harm that the precision itself cannot measure.,278.34,0.7437,institutional,0.9821,The Sage,,mastered something the world no longer needs; the mastery is now the cage,the debt that cannot be repaid — someone saved your life; you cannot save theirs back,what seemed like two separate stories is one story seen from two irreconcilable positions,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_10,DE_04,SW_05,MF_10 + DE_04 + SW_05,The Sixth Sense (1999),0.7500,672.80,Fifty Shades of Grey (2015),0.7500,569.65,Gone Girl (2014),0.7500,370.89,672.80,537.78,0.7500,278335970.14,runs/evolve-20260526T070805Z/evolve/gen0/winners.json
evolve-20260526T070613Z,2026-05-26T07:06:13Z,2026-05-26,,,a living alien ecosystem with its own evolutionary consciousness,"The act of care, performed without presence, becomes the instrument of harm.",448.38,0.8164,civilizational,0.9544,The Creator,,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,fairness vs care — the fair outcome destroys the person you care about,one rule explains everything that seemed random — retroactive coherence,the film forces the audience to answer a question about their own behavior before judging the protagonist,MF_02,DE_02,SW_16,MF_02 + DE_02 + SW_16,Interstellar (2014),0.7500,746.61,The Martian (2015),0.7500,631.06,Passengers (2016),0.7500,303.14,746.61,560.27,0.7500,448380031.23,runs/evolve-20260526T070613Z/evolve/gen0/winners.json
evolve-20260526T051433Z,2026-05-26T05:14:33Z,2026-05-26,,,archive or document repository holding suppressed records,Precision without accountability leads to harm that the precision itself cannot measure.,258.54,0.7635,civilizational,0.9447,The Magician,,loves someone they cannot keep without destroying what they have become — the wound is that both versions of themselves are real,liberty vs protection — protecting someone means controlling them,the moment of maximum competence is the moment of maximum failure,the film forces the audience to answer a question about their own behavior before judging the protagonist,MF_03,DE_02,SW_15,MF_03 + DE_02 + SW_15,Divergent,0.8000,288.89,A.I. Artificial Intelligence (2001),0.7500,235.93,Unbreakable (2000),0.6000,248.12,288.89,257.64,0.8000,258542424.81,runs/evolve-20260526T051433Z/evolve/gen0/winners.json
evolve-20260526T045810Z,2026-05-26T04:58:10Z,2026-05-26,,,public defender's office in an underfunded court system,Precision without accountability leads to harm that the precision itself cannot measure.,258.49,0.8027,civilizational,1.0000,The Jester,,"denied autonomy, proof of competence, and any relationship where they are fully known — simultaneously",liberty vs protection — protecting someone means controlling them,the method was causing the problem it was designed to solve,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_03,DE_04,SW_12,MF_03 + DE_04 + SW_12,A.I. Artificial Intelligence (2001),0.6000,235.93,The Legend of Zorro (2005),0.5714,142.40,Maze Runner: The Death Cure,0.5000,288.18,288.18,222.17,0.6000,258486374.32,runs/evolve-20260526T045810Z/evolve/gen0/winners.json
evolve-20260525T165727Z,2026-05-25T16:57:27Z,2026-05-25,,,archive or document repository holding suppressed records,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",256.27,0.8367,civilizational,0.9821,The Rebel,Tyrant Ruler,"denied autonomy, proof of competence, and any relationship where they are fully known — simultaneously",loyalty vs truth — both are owed to the same person and cannot coexist,the cost was always known — the audience must now decide if they would have done the same,the protagonist's central action was simultaneously right and wrong — the film refuses to adjudicate,MF_01,DE_01,SW_12,MF_01 + DE_01 + SW_12,A.I. Artificial Intelligence (2001),0.7500,235.93,Far and Away (1992),0.6000,137.78,Divergent,0.5000,288.89,288.89,220.87,0.7500,256265934.21,runs/evolve-20260525T165727Z/evolve/gen0/winners.json
evolve-20260525T165353Z,2026-05-25T16:53:53Z,2026-05-25,,,an AI development lab at the moment of an irreversible deployment,Precision without accountability leads to harm that the precision itself cannot measure.,256.16,0.0706,emotional,0.8518,The Rebel,Decayed Innocent,loves someone they cannot keep without destroying what they have become — the wound is that both versions of themselves are real,the debt that cannot be repaid — someone saved your life; you cannot save theirs back,the precision of measurement contains the exact thing it cannot measure,the protagonist's central action was simultaneously right and wrong — the film refuses to adjudicate,MF_10,DE_01,SW_15,MF_10 + DE_01 + SW_15,Unbreakable (2000),0.8000,248.12,Blade Runner 2049,0.6667,277.88,The Village (2004),0.6000,256.70,277.88,260.90,0.8000,256163637.56,runs/evolve-20260525T165353Z/evolve/gen0/winners.json
evolve-20260525T162610Z,2026-05-25T16:26:10Z,2026-05-25,,,an ancient world being rediscovered — ruins that still hold living consequences,Precision without accountability leads to harm that the precision itself cannot measure.,250.51,0.0663,emotional,0.8126,The Hero,Manipulator Trickster,knows something that if shared would end every relationship they have,present harm vs future prevention — doing harm now is the only way to prevent greater harm later,the moment of maximum competence is the moment of maximum failure,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_06,DE_04,SW_08,MF_06 + DE_04 + SW_08,Sommersby (1993),1.0000,140.08,Indecent Proposal (1993),0.6667,266.61,Wuthering Heights (2026),0.6667,241.60,266.61,216.10,1.0000,250506515.08,runs/evolve-20260525T162610Z/evolve/gen0/winners.json
evolve-20260525T162158Z,2026-05-25T16:21:58Z,2026-05-25,,,a living alien ecosystem with its own evolutionary consciousness,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",256.27,0.5620,civilizational,0.8378,The Sage,,knows something that if shared would end every relationship they have,scientific truth vs lived experience — the data says one thing; the patient's body says another,the document that cannot be classified — the institution has no response category for what it received,"half the audience experiences the ending as victory; half as defeat — same events, opposite readings",MF_09,DE_03,SW_08,MF_09 + DE_03 + SW_08,A.I. Artificial Intelligence (2001),0.7500,235.93,Far and Away (1992),0.6000,137.78,Divergent,0.5000,288.89,288.89,220.87,0.7500,256265934.21,runs/evolve-20260525T162158Z/evolve/gen0/winners.json
evolve-20260525T160507Z,2026-05-25T16:05:07Z,2026-05-25,,,migration detention facility,Precision without accountability leads to harm that the precision itself cannot measure.,272.26,0.7482,institutional,1.0000,,,"denied autonomy, proof of competence, and any relationship where they are fully known — simultaneously",present harm vs future prevention — doing harm now is the only way to prevent greater harm later,the precision of measurement contains the exact thing it cannot measure,"good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_06,DE_09,SW_12,MF_06 + DE_09 + SW_12,The Village (2004),1.0000,256.70,What Lies Beneath,0.7500,291.42,The Firm (1993),0.7500,270.25,291.42,272.79,1.0000,272258329.14,runs/evolve-20260525T160507Z/evolve/gen0/winners.json
evolve-20260525T155301Z,2026-05-25T15:53:01Z,2026-05-25,,,"a family home across three generations — the same rooms, different decades",Precision without accountability leads to harm that the precision itself cannot measure.,250.51,0.7896,emotional,0.9672,The Lover,,did everything right; one variable outside their control destroyed everything they built,individual conscience vs collective loyalty — one person's integrity vs many people's safety,the method was causing the problem it was designed to solve,"half the audience experiences the ending as victory; half as defeat — same events, opposite readings",MF_04,DE_03,SW_06,MF_04 + DE_03 + SW_06,Sommersby (1993),1.0000,140.08,Indecent Proposal (1993),0.6667,266.61,Wuthering Heights (2026),0.6667,241.60,266.61,216.10,1.0000,250506515.08,runs/evolve-20260525T155301Z/evolve/gen0/winners.json
evolve-20260525T154841Z,2026-05-25T15:48:41Z,2026-05-25,,,migration detention facility,Precision without accountability leads to harm that the precision itself cannot measure.,250.51,0.7289,emotional,0.9672,The Sage,Exiled Sage,chose freedom; the act of choosing destroyed every relationship that made freedom worth having,individual conscience vs collective loyalty — one person's integrity vs many people's safety,the precision of measurement contains the exact thing it cannot measure,different audiences identify with different characters based on their own systemic position,MF_04,DE_07,SW_02,MF_04 + DE_07 + SW_02,Sommersby (1993),1.0000,140.08,Indecent Proposal (1993),0.6667,266.61,Wuthering Heights (2026),0.6667,241.60,266.61,216.10,1.0000,250506515.08,runs/evolve-20260525T154841Z/evolve/gen0/winners.json
evolve-20260525T153426Z,2026-05-25T15:34:26Z,2026-05-25,,,a frontier world where the rules of civilization have not yet arrived — raw possibility and raw danger in equal measure,Precision without accountability leads to harm that the precision itself cannot measure.,245.63,0.7665,civilizational,0.8762,,Trapped Explorer,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,liberty vs protection — protecting someone means controlling them,the absence was always the presence — the gap in the record is the most important data point,the most sympathetic character causes the most harm — no clean emotional exit,MF_03,DE_05,SW_16,MF_03 + DE_05 + SW_16,A.I. Artificial Intelligence (2001),0.7500,235.93,Maze Runner: The Death Cure,0.6000,288.18,Elysium,0.6000,286.14,288.18,270.08,0.7500,245633325.65,runs/evolve-20260525T153426Z/evolve/gen0/winners.json
evolve-20260525T152232Z,2026-05-25T15:22:32Z,2026-05-25,,,archaeological site where the past and present collide,Precision without accountability leads to harm that the precision itself cannot measure.,256.27,0.0694,civilizational,0.8459,The Rebel,,to help effectively they must maintain distance; the distance is what prevents them helping,liberty vs protection — protecting someone means controlling them,the method was causing the problem it was designed to solve,the most sympathetic character causes the most harm — no clean emotional exit,MF_03,DE_05,SW_11,MF_03 + DE_05 + SW_11,A.I. Artificial Intelligence (2001),0.7500,235.93,Far and Away (1992),0.6000,137.78,Divergent,0.5000,288.89,288.89,220.87,0.7500,256265934.21,runs/evolve-20260525T152232Z/evolve/gen0/winners.json
evolve-20260524T193416Z,2026-05-24T19:34:16Z,2026-05-24,,,algorithmic hiring system inside a corporation,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",256.16,0.6415,emotional,0.9414,The Magician,Hollow Caregiver,to help effectively they must maintain distance; the distance is what prevents them helping,past justice vs future peace — pursuing the truth reopens a wound the community needs to stay closed,one rule explains everything that seemed random — retroactive coherence,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_07,DE_04,SW_11,MF_07 + DE_04 + SW_11,Unbreakable (2000),0.8000,248.12,Blade Runner 2049,0.6667,277.88,The Village (2004),0.6000,256.70,277.88,260.90,0.8000,256163637.56,runs/evolve-20260524T193416Z/evolve/gen0/winners.json
evolve-20260524T173621Z,2026-05-24T17:36:21Z,2026-05-24,,,archaeological site where the past and present collide,Precision without accountability leads to harm that the precision itself cannot measure.,284.33,0.7995,emotional,1.0000,The Hero,Hollow Caregiver,loves someone they cannot keep without destroying what they have become — the wound is that both versions of themselves are real,present harm vs future prevention — doing harm now is the only way to prevent greater harm later,"the protagonist was the antagonist all along — same person, different time",different audiences identify with different characters based on their own systemic position,MF_06,DE_07,SW_15,MF_06 + DE_07 + SW_15,Indecent Proposal (1993),1.0000,266.61,Wuthering Heights (2026),1.0000,241.60,Sense and Sensibility (1995),1.0000,134.84,266.61,214.35,1.0000,284327259.98,runs/evolve-20260524T173621Z/evolve/gen0/winners.json
evolve-20260524T173301Z,2026-05-24T17:33:01Z,2026-05-24,,,migration detention facility,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",232.08,0.6898,economic,0.9606,The Everyman,,did everything right; one variable outside their control destroyed everything they built,scientific truth vs lived experience — the data says one thing; the patient's body says another,the absence was always the presence — the gap in the record is the most important data point,"half the audience experiences the ending as victory; half as defeat — same events, opposite readings",MF_09,DE_03,SW_06,MF_09 + DE_03 + SW_06,The Firm (1993),1.0000,270.25,Mr. Six (2015),0.8000,139.19,Conspiracy Theory (1997),0.8000,136.98,270.25,182.14,1.0000,232077382.76,runs/evolve-20260524T173301Z/evolve/gen0/winners.json
evolve-20260524T172830Z,2026-05-24T17:28:30Z,2026-05-24,,,an enchanted realm where physical laws are expressions of emotional truth,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",256.27,0.7896,civilizational,0.9753,The Creator,Failed Lover,born into a world that has already decided who they are — the wound is the gap between the life assigned and the life desired,loyalty vs truth — both are owed to the same person and cannot coexist,the cost was always known — the audience must now decide if they would have done the same,"good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_01,DE_09,SW_14,MF_01 + DE_09 + SW_14,A.I. Artificial Intelligence (2001),0.7500,235.93,Far and Away (1992),0.6000,137.78,Divergent,0.5000,288.89,288.89,220.87,0.7500,256265934.21,runs/evolve-20260524T172830Z/evolve/gen0/winners.json
evolve-20260524T161607Z,2026-05-24T16:16:07Z,2026-05-24,,,a society in a single compressed moment of transformation — the last night before everything changes forever,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",245.63,0.5973,civilizational,0.8199,The Innocent,,lost the one person who saw them completely; is now invisible to everyone else,past justice vs future peace — pursuing the truth reopens a wound the community needs to stay closed,the absence was always the presence — the gap in the record is the most important data point,younger and older audiences reach opposite verdicts about the same ending,MF_07,DE_08,SW_09,MF_07 + DE_08 + SW_09,A.I. Artificial Intelligence (2001),0.7500,235.93,Maze Runner: The Death Cure,0.6000,288.18,Elysium,0.6000,286.14,288.18,270.08,0.7500,245633325.65,runs/evolve-20260524T161607Z/evolve/gen0/winners.json
